中,英文,日文,域,域-latin,界,界-latin,門,門-latin,亞門,亞門-latin,綱,綱-latin,亞綱,亞綱-latin,目,目-latin,科,科-latin,亞科,亞科-latin,屬,屬-latin,種,種-latin
雙歧桿菌,,,細菌域,Bacteria,,,放線菌門,Actinobacteria,放線菌綱,Actinobacteria,,,,,雙歧桿菌目,Bifidobacteriales,雙歧桿菌科,Bifidobacteriaceae,,,雙歧桿菌屬,Bifidobacterium,,
嗜酸乳桿菌,,,細菌域,Bacteria,,,厚壁菌門,Firmicutes,芽孢桿菌綱,Bacilli,,,,,乳桿菌目,Lactobacillales,乳桿菌科,Lactobacillaceae,,,乳桿菌屬,Lactobacillus,嗜酸乳桿菌,Lactobacillus acidophilus
乾酪乳桿菌,,,細菌域,Bacteria,,,厚壁菌門,Firmicutes,芽孢桿菌綱,Bacilli,,,,,乳桿菌目,Lactobacillales,乳桿菌科,Lactobacillaceae,,,乳桿菌屬,Lactobacillus,乾酪乳桿菌,Lactobacillus casei
保加利亞乳桿菌,,,細菌域,Bacteria,,,厚壁菌門,Firmicutes,芽孢桿菌綱,Bacilli,,,,,乳桿菌目,Lactobacillales,乳桿菌科,Lactobacillaceae,,,乳桿菌屬,Lactobacillus,德氏乳桿菌,Lactobacillus delbrueckii
嗜熱鏈球菌,,,細菌域,Bacteria,,,厚壁菌門,Firmicutes,芽孢桿菌綱,Bacilli,,,,,乳桿菌目,Lactobacillales,鏈球菌科,Streptococcaceae,,,鏈球菌屬,Streptococcus,嗜熱鏈球菌,Streptococcus thermophilus
木葡糖酸醋桿菌,,,細菌域,Bacteria,,,變形菌門,Proteobacteria,α-變形菌綱,Alphaproteobacteria,,,,,紅螺菌目,Rhodospirillales,醋桿菌科,Acetobacteraceae,,,駒形桿菌屬,Komagataeibacter,木駒形桿菌,Komagataeibacter xylinus
肺衣,,,眞核域,Eukaryota,眞菌界,Fungi,子囊菌門,Ascomycota,盤菌亞門,Pezizomycotina,茶漬綱,Lecanoromycetes,茶漬亞綱,Lecanoromycetidae,地捲目,Peltigerales,肺衣科,Lobariaceae,,,肺衣屬,Lobaria,,
蟲草花,,,眞核域,Eukaryota,眞菌界,Fungi,子囊菌門,Ascomycota,盤菌亞門,Pezizomycotina,糞殼菌綱,Sordariomycetes,,,肉座菌目,Hypocreales,,,,,,,,
酵母,,,眞核域,Eukaryota,眞菌界,Fungi,子囊菌門,Ascomycota,酵母亞門,Saccharomycotina,酵母綱,Saccharomycetes,,,酵母目,Saccharomycetales,,,,,,,,
雙孢蘑菇,,,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,傘菌亞綱,Agaricomycetidae,傘菌目,Agaricales,傘菌科,Agaricaceae,,,傘菌屬,Agaricus,雙孢蘑菇,Agaricus bisporus
姬松茸,,,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,傘菌亞綱,Agaricomycetidae,傘菌目,Agaricales,傘菌科,Agaricaceae,,,傘菌屬,Agaricus,姬松茸,Agaricus subrufescens
雞腿菇,,,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,傘菌亞綱,Agaricomycetidae,傘菌目,Agaricales,傘菌科,Agaricaceae,,,鬼傘屬,Coprinus,,
雞㙡,,,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,傘菌亞綱,Agaricomycetidae,傘菌目,Agaricales,,Lyophyllaceae,,,蟻傘屬,Termitomyces,,
茶樹菇,,,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,傘菌亞綱,Agaricomycetidae,傘菌目,Agaricales,糞傘科,Bolbitiaceae,,,田頭菇屬,Agrocybe,茶樹菇,Agrocybe aegerita
海鮮菇/蟹味菇,,,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,傘菌亞綱,Agaricomycetidae,傘菌目,Agaricales,離褶傘科,Lyophyllaceae,,,玉蕈屬,Hypsizygus,,
香菇,,,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,傘菌亞綱,Agaricomycetidae,傘菌目,Agaricales,光茸菌科,Omphalotaceae,,,香菇屬,Lentinula,香菇,Lentinula edodes
榛蘑/蜜環菌,,,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,傘菌亞綱,Agaricomycetidae,傘菌目,Agaricales,膨瑚菌科,Physalacriaceae,,,榛蘑屬,Armillaria,榛蘑,Armillaria mellea
金針菇,,,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,傘菌亞綱,Agaricomycetidae,傘菌目,Agaricales,膨瑚菌科,Physalacriaceae,,,小火菇屬,Flammulina,金針菇,Flammulina velutipes
草菇,,,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,傘菌亞綱,Agaricomycetidae,傘菌目,Agaricales,光柄菇科,Pluteaceae,,,小包腳菇屬,Volvariella,草菇,Volvariella volvacea
杏鮑菇,,,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,傘菌亞綱,Agaricomycetidae,傘菌目,Agaricales,側耳科,Pleurotaceae,,,側耳屬,Pleurotus,杏鮑菇,Pleurotus eryngii
平菇,,,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,傘菌亞綱,Agaricomycetidae,傘菌目,Agaricales,側耳科,Pleurotaceae,,,側耳屬,Pleurotus,側耳,Pleurotus ostreatus
牛肝菌,,,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,傘菌亞綱,Agaricomycetidae,牛肝菌目,Boletales,牛肝菌科,Boletaceae,,,,,,
黑木耳,,,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,,,木耳目,Auriculariales,木耳科,Auricularaceae,,,木耳屬,Auricularia,黑木耳,Auricularia auricula-judae
竹蓀,,,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,鬼筆亞綱,Phallomycetidae,鬼筆目,Phallales,鬼筆科,Phallaceae,,,鬼筆屬,Phallus,竹蓀,Phallus indusiatus
茯苓,,,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,,,多孔菌目,Polyporales,絢孔菌科,Laetiporaceae,,,茯苓屬,Wolfiporia,茯苓,Wolfiporia cocos
猴頭菇,,,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,傘菌綱,Agaricomycetes,,,紅菇目,Russulales,猴頭菇科,Hericiaceae,,,猴頭菇屬,Hericium,猴頭菇,Hericium erinaceus
銀耳,,,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,傘菌亞門,Agaricomycotina,銀耳綱,Tremellocetes,,,銀耳目,Tremellales,銀耳科,Tremellaceae,,,銀耳屬,Tremella,銀耳,Tremella fuciformis
黑粉菌,,,眞核域,Eukaryota,眞菌界,Fungi,擔子菌門,Basidiomycota,黑粉菌亞門,Ustilaginomycotina,黑粉菌綱,Ustilaginomycetes,,,黑粉菌目,Ustilaginales,黑粉菌科,Ustilaginaceae,,,黑粉菌屬,Ustilago,,
可口革囊星蟲（土筍凍）,,,眞核域,Eukaryota,動物界,Metazoa,環節動物門,Annelida,,,多毛綱,Polychaeta,星蟲亞綱,Sipuncula,革囊星蟲目,Phascolosomatiformes,革囊星蟲科,Phascolosomatidae,,,革囊星蟲屬,Phascolosoma,可口革囊星蟲,Phascolosoma esculenta
海腸,,,眞核域,Eukaryota,動物界,Metazoa,環節動物門,Annelida,,,多毛綱,Polychaeta,螠蟲亞綱,Echiura,無管螠目,Xenopneusta,刺螠科,Urechidae,,,刺螠屬,Urechis,單環刺螠,Urechis unicinctus
竹蟲,,,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,六足亞門,Hexapoda,䖵蟲綱,Insecta,有翅亞綱,Pterygota,鱗翅目,Lepidoptera,草螟科,Crambidae,斑野螟亞科,Spilomelinae,蠹野螟屬,Omphisa,筍蠹螟,Omphisa fuscidentalis
螞蚱,,,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,六足亞門,Hexapoda,䖵蟲綱,Insecta,有翅亞綱,Pterygota,直翅目,Orthoptera,,,,,,,,
小龍鰕,,,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,甲殼亞門,Crustacea,輭甲綱,Malacostraca,,,十足目,Decapoda,蝲蛄科,Cambaridae,,,原螯鰕屬,Procambarus,克氏原螯鰕,Procambarus clarkii
灰眼雪蟹/松葉蟹,,ずはいがに,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,甲殼亞門,Crustacea,輭甲綱,Malacostraca,,,十足目,Decapoda,蜘蛛蟹科,Majidae,,,雪蟹屬,Chionoecetes,灰眼雪蟹,Chionoecetes opilio
波士頓龍鰕,,,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,甲殼亞門,Crustacea,輭甲綱,Malacostraca,,,十足目,Decapoda,海螯鰕科,Nephropidae,,,螯龍鰕屬,Homarus,美洲螯龍鰕,Homarus americanus
青鰕,,,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,甲殼亞門,Crustacea,輭甲綱,Malacostraca,,,十足目,Decapoda,長臂鰕科,Palaemonidae,,,沼鰕屬,Macrobrachium,,
明鰕/中國對鰕,,,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,甲殼亞門,Crustacea,輭甲綱,Malacostraca,,,十足目,Decapoda,對鰕科,Penaeidae,,,明對鰕屬,Fenneropenaeus,明鰕,Fenneropenaeus chinensis
基圍鰕/沙鰕,,,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,甲殼亞門,Crustacea,輭甲綱,Malacostraca,,,十足目,Decapoda,對鰕科,Penaeidae,,,新對鰕屬,Metapenaeus,刀額新對鰕,Metapenaeus ensis
草鰕/斑節對鰕/黑虎鰕,,,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,甲殼亞門,Crustacea,輭甲綱,Malacostraca,,,十足目,Decapoda,對鰕科,Penaeidae,,,對鰕屬,Penaeus,草鰕,Penaeus monodon
毛鰕（鰕皮）,,,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,甲殼亞門,Crustacea,輭甲綱,Malacostraca,,,十足目,Decapoda,櫻鰕科,Sergestidae,,,毛鰕屬,Acetes,,
櫻鰕,,,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,甲殼亞門,Crustacea,輭甲綱,Malacostraca,,,十足目,Decapoda,櫻鰕科,Sergestidae,,,櫻鰕屬,Sergia,櫻鰕,Sergia lucens
阿根廷紅鰕,,,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,甲殼亞門,Crustacea,輭甲綱,Malacostraca,,,十足目,Decapoda,管鞭鰕科,Solenoceridae,,,？屬,Pleoticus,阿根廷紅鰕,Pleoticus muelleri
中華絨螯蟹/大閘蟹/河蟹,,,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,甲殼亞門,Crustacea,輭甲綱,Malacostraca,,,十足目,Decapoda,弓蟹科,Varunidae,,,絨螯蟹屬,Eriocheir,中華絨螯蟹,Eriocheir sinensis
鰕仁（……）,,,眞核域,Eukaryota,動物界,Metazoa,節肢動物門,Arthropoda,甲殼亞門,Crustacea,輭甲綱,Malacostraca,,,十足目,Decapoda,,,,,,,,
鰻魚,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,海鰱類,Elopocephala ,鰻鱺目,Anguilliformes,鰻鱺科,Anguillidae,,,鰻鱺屬,Anguilla,,
星鰻,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,海鰱類,Elopocephala ,鰻鱺目,Anguilliformes,糯鰻科,Congridae,糯鰻亞科,Congrinae,糯鰻屬,Conger,繁星糯鰻,Conger myriaster
刀魚,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯡形目,Clupeiformes,鯷科,Engraulidae,,,鱭屬,Coilia,刀魚,Coilia nasus
鳳尾魚（烤籽魚）,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯡形目,Clupeiformes,鯷科,Engraulidae,,,鱭屬,Coilia,鳳鱭,Coilia mystus
丁香魚,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯡形目,Clupeiformes,鯷科,Engraulidae,,,鯷屬,Engraulis,日本鯷,Engraulis japonicus
小沙丁魚,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯡形目,Clupeiformes,鯡科,Clupeidae,鯡亞科,Clupeinae,小沙丁魚屬,Sardinella,長頭小沙丁魚,Sardinella longiceps
泥鰍,oriental weatherfish,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯉形目,Cypriniformes,鰍科,Cobitidae,鰍亞科,Cobitinae,泥鰍屬,Misgurnus,泥鰍,Misgurnus anguillicaudatus
鯽魚,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯉形目,Cypriniformes,鯉科,Cyprinidae,,,鯽屬,Carassius,鯽,Carassius auratus
鯪魚,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯉形目,Cypriniformes,鯉科,Cyprinidae,,,鯪屬,Cirrhinus,鯪,Cirrhinus molitorella
草魚/鯇魚,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯉形目,Cypriniformes,鯉科,Cyprinidae,,,草魚屬,Ctenopharyngodon,草魚,Ctenopharyngodon idella
翹嘴鮊/白水魚,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯉形目,Cypriniformes,鯉科,Cyprinidae,,,鮊屬,Culter,翹嘴鮊,Culter alburnus
鯉魚,carp,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯉形目,Cypriniformes,鯉科,Cyprinidae,,,鯉屬,Cyprinus,鯉,Cyprinus carpio
䱗/白鰷/白條魚,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯉形目,Cypriniformes,鯉科,Cyprinidae,,,䱗屬,Hemiculter,條鰶,Hemiculter leucisculus
鰱魚/白鰱,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯉形目,Cypriniformes,鯉科,Cyprinidae,,,鰱屬,Hypophthalmichthys,鰱魚,Hypophthalmichthys molitrix
鱅魚/胖頭魚/花鰱,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯉形目,Cypriniformes,鯉科,Cyprinidae,,,鰱屬,Hypophthalmichthys,鱅魚,Hypophthalmichthys nobilis
青魚,black carp,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯉形目,Cypriniformes,鯉科,Cyprinidae,,,青魚屬,Mylopharyngodon,青魚,Mylopharyngodon piceus
鯿魚,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鯉形目,Cypriniformes,鯉科,Cyprinidae,,,鯿屬,Parabramis,鯿魚,Parabramis pekinensis
蝨目魚,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鼠鱚目,Gonorynchiformes,蝨目魚科,Chanidae,,,蝨目魚屬,Chanos,蝨目魚,Chanos chanos
黃顙魚/黃辣丁/黃鴨叫/昂刺魚,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鮎形目,Siluriformes,鮠科,Bagridae,,,瘋𩼝屬,Tachysurus,黃顙魚,Tachysurus fulvidraco
巴沙魚,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鮎形目,Siluriformes,巨鮎科,Pangasiidae,,,巨鮎屬,Pangasius,博氏巨鮎,Pangasius bocourti
鮎魚,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鰾聽魚類,Otomorpha,鮎形目,Siluriformes,鮎科,Siluridae,,,鮎屬,Silurus,花鮎,Silurus asotus
阿拉斯加狹鱈/明太魚,,すけたうだら,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,副棘鰭類,Paracanthopterygii,鱈形目,Gadiformes,鱈科,Gadidae,,,鱈屬,Gadus,黃線狹鱈,Gadus chalcogrammus
大西洋鱈,Atlantic cod,大西洋だら,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,副棘鰭類,Paracanthopterygii,鱈形目,Gadiformes,鱈科,Gadidae,,,鱈屬,Gadus,大西洋鱈,Gadus morhua
細鱗壯鱈/水鱈魚,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,副棘鰭類,Paracanthopterygii,鱈形目,Gadiformes,鼠尾鱈科,Macrouridae,鼠尾鱈亞科,Macrourinae,壯鱈屬,Albatrossia,細鱗壯鱈,Albatrossia pectoralis
黑魚/烏鱧,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鱸形類,Percomorphaceae,攀鱸目,Anabantiformes,鱧科,Channidae,,,鱧屬,Channa,烏鱧,Channa argus
秋刀魚,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鱸形類,Percomorphaceae,頜針魚目,Beloniformes,頜針魚科,Belonidae,,,秋刀魚屬,Cololabis,秋刀魚,Cololabis saira
飛魚,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鱸形類,Percomorphaceae,頜針魚目,Beloniformes,飛魚科,Exocoetidae,,,,,,
馬步魚,,さより,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鱸形類,Percomorphaceae,頜針魚目,Beloniformes,鱵科,Hemiramphidae,,,下鱵魚屬,Hyporhamphus,沙氏下鱵,Hyporhamphus sajori
金鯧,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鱸形類,Percomorphaceae,鰺形目,Carangiformes,鰺科,Carangidae,,,鯧鰺屬,Trachinotus,布氏鯧鰺,Trachinotus baillonii
竹筴魚,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鱸形類,Percomorphaceae,鰺形目,Carangiformes,鰺科,Carangidae,,,竹筴魚屬,Trachurus,日本竹筴魚,Trachurus japonicus
大口黑鱸,largemouth bass,おほくちバス,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鱸形類,Percomorphaceae,太陽魚目,Centrarchiformes,太陽魚科,Centrarchidae,,,黑鱸屬,Micropterus,大口黑鱸,Micropterus salmoides
鱖魚,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鱸形類,Percomorphaceae,太陽魚目,Centrarchiformes,鱖魚科,Sinipercidae,,,鱖魚屬,Siniperca,鱖魚,Siniperca chuatsi
羅非魚/非洲鯽魚/臺灣鯛,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鱸形類,Percomorphaceae,慈鯛目,Cichliformes,慈鯛科,Cichlidae,,,口孵非鯽屬,Oreochromis,,
海鱸魚,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鱸形類,Percomorphaceae,單鰭魚形目,Pempheriformes,花鱸科,Lateolabracidae,,,花鱸屬,Lateolabrax,日本眞鱸,Lateolabrax japonicus
鴉片魚/牙鮃,,,眞核域,Eukaryota,動物界,Metazoa,脊索動物門,Chordata,脊椎動物,Vertebrata,輻鰭魚綱,Actinopteri,鱸形類,Percomorphaceae,鰈形目,Pleuronectiformes,牙鮃科,Paralichthyidae,,,牙鮃屬,Paralichthys,牙鮃,Paralichthys olivaceus
